date;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
2008-05-12;1.1;93.99;-36.4;4.86;5191.0
2008-05-13;1.1;93.99;-36.4;4.86;5191.0
2008-05-14;1.1;93.99;-36.4;4.86;5191.0
2008-05-15;1.1;93.99;-36.4;4.86;5191.0
2008-05-16;1.1;93.99;-36.4;4.86;5191.0
2008-06-16;1.4;94.46;-41.8;4.86;5228.1
2008-06-17;1.4;94.46;-41.8;4.86;5228.1
2008-06-11;1.4;94.46;-41.8;4.86;5228.1
2008-06-12;1.4;94.46;-41.8;4.87;5228.1
2008-06-13;1.4;94.46;-41.8;4.97;5228.1
2008-07-15;1.4;93.92;-42.7;4.96;5228.1
2008-07-16;1.4;93.92;-42.7;4.96;5228.1
2008-07-17;1.4;93.92;-42.7;4.97;5228.1
2008-07-11;1.4;93.92;-42.7;4.96;5228.1
2008-07-14;1.4;93.92;-42.7;4.96;5228.1
2008-08-11;1.4;93.44;-36.1;4.97;5228.1
2008-08-12;1.4;93.44;-36.1;4.97;5228.1
2008-08-13;1.4;93.44;-36.1;4.97;5228.1
2008-08-14;1.4;93.44;-36.1;4.97;5228.1
2008-08-15;1.4;93.44;-36.1;4.97;5228.1
2008-10-17;-0.1;93.8;-40.4;5.04;5195.8
2008-10-13;-0.1;93.8;-40.4;5.0;5195.8
2008-10-14;-0.1;93.8;-40.4;4.97;5195.8
2008-10-15;-0.1;93.8;-40.4;4.94;5195.8
2008-10-16;-0.1;93.8;-40.4;4.92;5195.8
2008-11-17;-0.1;93.2;-42.0;4.73;5195.8
2008-11-11;-0.1;93.2;-42.0;4.7;5195.8
2008-11-12;-0.1;93.2;-42.0;4.66;5195.8
2008-11-13;-0.1;93.2;-42.0;4.59;5195.8
2008-11-14;-0.1;93.2;-42.0;4.47;5195.8
2008-12-15;-0.2;92.76;-45.9;3.82;5176.3
2008-12-17;-0.2;92.76;-45.9;3.74;5176.3
2008-12-11;-0.2;92.76;-45.9;3.67;5176.3
2008-12-12;-0.2;92.76;-45.9;3.56;5176.3
2008-12-16;-0.2;92.76;-45.9;3.43;5176.3
2009-03-16;-1.8;92.84;-50.0;1.81;5099.1
2009-03-17;-1.8;92.84;-50.0;1.8;5099.1
2009-03-11;-1.8;92.84;-50.0;1.78;5099.1
2009-03-12;-1.8;92.84;-50.0;1.76;5099.1
2009-03-13;-1.8;92.84;-50.0;1.73;5099.1
2009-04-15;-1.8;93.08;-47.1;1.5;5099.1
2009-04-16;-1.8;93.08;-47.1;1.48;5099.1
2009-04-17;-1.8;93.08;-47.1;1.48;5099.1
2009-04-13;-1.8;93.08;-47.1;1.47;5099.1
2009-04-14;-1.8;93.08;-47.1;1.45;5099.1
2009-05-11;-1.8;92.89;-46.2;1.35;5099.1
2009-05-12;-1.8;92.89;-46.2;1.34;5099.1
2009-05-13;-1.8;92.89;-46.2;1.33;5099.1
2009-05-14;-1.8;92.89;-46.2;1.33;5099.1
2009-05-15;-1.8;92.89;-46.2;1.31;5099.1
2009-06-15;-2.9;92.96;-40.8;1.27;5076.2
2009-06-16;-2.9;92.96;-40.8;1.26;5076.2
2009-06-17;-2.9;92.96;-40.8;1.26;5076.2
2009-06-11;-2.9;92.96;-40.8;1.26;5076.2
2009-06-12;-2.9;92.96;-40.8;1.27;5076.2
2009-07-15;-2.9;92.47;-33.6;1.08;5076.2
2009-07-16;-2.9;92.47;-33.6;1.07;5076.2
2009-07-17;-2.9;92.47;-33.6;1.06;5076.2
2009-07-13;-2.9;92.47;-33.6;1.05;5076.2
2009-07-14;-2.9;92.47;-33.6;1.04;5076.2
2009-08-11;-2.9;92.2;-31.4;0.88;5076.2
2009-08-12;-2.9;92.2;-31.4;0.88;5076.2
2009-08-13;-2.9;92.2;-31.4;0.88;5076.2
2009-08-14;-2.9;92.2;-31.4;0.88;5076.2
2009-08-17;-2.9;92.2;-31.4;0.88;5076.2
2009-09-15;-3.4;92.38;-29.8;0.82;5017.5
2009-09-16;-3.4;92.38;-29.8;0.81;5017.5
2009-09-17;-3.4;92.38;-29.8;0.81;5017.5
2009-09-11;-3.4;92.38;-29.8;0.8;5017.5
2009-09-14;-3.4;92.38;-29.8;0.8;5017.5
2009-10-15;-3.4;92.43;-26.9;0.75;5017.5
2009-10-16;-3.4;92.43;-26.9;0.75;5017.5
2009-10-13;-3.4;92.43;-26.9;0.74;5017.5
2009-10-14;-3.4;92.43;-26.9;0.74;5017.5
2009-10-12;-3.4;92.43;-26.9;0.74;5017.5
2009-11-16;-3.4;92.65;-30.1;0.72;5017.5
2009-11-17;-3.4;92.65;-30.1;0.72;5017.5
2009-11-11;-3.4;92.65;-30.1;0.72;5017.5
2009-11-12;-3.4;92.65;-30.1;0.72;5017.5
2009-11-13;-3.4;92.65;-30.1;0.72;5017.5
2009-12-16;-3.0;92.71;-33.0;0.72;5023.5
2009-12-17;-3.0;92.71;-33.0;0.72;5023.5
2009-12-11;-3.0;92.71;-33.0;0.72;5023.5
2009-12-14;-3.0;92.71;-33.0;0.72;5023.5
2009-12-15;-3.0;92.71;-33.0;0.72;5023.5
2010-03-15;-1.8;93.37;-34.8;0.66;5008.7
2010-03-16;-1.8;93.37;-34.8;0.66;5008.7
2010-03-17;-1.8;93.37;-34.8;0.66;5008.7
2010-03-11;-1.8;93.37;-34.8;0.65;5008.7
2010-03-12;-1.8;93.37;-34.8;0.65;5008.7
2010-04-15;-1.8;93.75;-34.6;0.64;5008.7
2010-04-13;-1.8;93.75;-34.6;0.64;5008.7
2010-04-14;-1.8;93.75;-34.6;0.64;5008.7
2010-04-12;-1.8;93.75;-34.6;0.64;5008.7
2010-04-16;-1.8;93.75;-34.6;0.64;5008.7
2010-05-11;-1.8;93.88;-40.0;0.67;5008.7
2010-05-12;-1.8;93.88;-40.0;0.67;5008.7
2010-05-13;-1.8;93.88;-40.0;0.68;5008.7
2010-05-14;-1.8;93.88;-40.0;0.68;5008.7
2010-05-17;-1.8;93.88;-40.0;0.68;5008.7
2010-06-15;-1.7;94.06;-39.8;0.7;4991.6
2010-06-16;-1.7;94.06;-39.8;0.7;4991.6
2010-06-11;-1.7;94.06;-39.8;0.71;4991.6
2010-06-14;-1.7;94.06;-39.8;0.71;4991.6
2010-06-17;-1.7;94.06;-39.8;0.73;4991.6
2010-07-15;-1.7;94.22;-40.3;0.78;4991.6
2010-07-16;-1.7;94.22;-40.3;0.79;4991.6
2010-07-12;-1.7;94.22;-40.3;0.79;4991.6
2010-07-13;-1.7;94.22;-40.3;0.8;4991.6
2010-07-14;-1.7;94.22;-40.3;0.8;4991.6
2010-08-16;-1.7;94.03;-38.3;0.9;4991.6
2010-08-17;-1.7;94.03;-38.3;0.9;4991.6
2010-08-11;-1.7;94.03;-38.3;0.9;4991.6
2010-08-12;-1.7;94.03;-38.3;0.9;4991.6
2010-08-13;-1.7;94.03;-38.3;0.9;4991.6
2010-09-15;-1.1;94.2;-37.5;0.89;4963.6
2010-09-16;-1.1;94.2;-37.5;0.88;4963.6
2010-09-17;-1.1;94.2;-37.5;0.88;4963.6
2010-09-13;-1.1;94.2;-37.5;0.88;4963.6
2010-09-14;-1.1;94.2;-37.5;0.88;4963.6
2010-10-15;-1.1;94.6;-49.5;0.94;4963.6
2010-10-11;-1.1;94.6;-49.5;0.95;4963.6
2010-10-12;-1.1;94.6;-49.5;0.96;4963.6
2010-10-13;-1.1;94.6;-49.5;0.96;4963.6
2010-10-14;-1.1;94.6;-49.5;0.96;4963.6
2010-11-16;-1.1;94.77;-50.8;1.05;4963.6
2010-11-15;-1.1;94.77;-50.8;1.05;4963.6
2010-11-17;-1.1;94.77;-50.8;1.05;4963.6
2010-11-11;-1.1;94.77;-50.8;1.05;4963.6
2010-11-12;-1.1;94.77;-50.8;1.05;4963.6
